# Dist_from_COM	Sticker_Saturation
1.1791e+02 1.0000e+00
8.6402e+01 1.0000e+00
6.9724e+01 1.0000e+00
9.9054e+01 1.0000e+00
8.8720e+01 1.0000e+00
9.1874e+01 1.0000e+00
9.6918e+01 1.0000e+00
9.7520e+01 1.0000e+00
6.7620e+01 1.0000e+00
9.5816e+01 1.0000e+00
8.0546e+01 1.0000e+00
9.1619e+01 1.0000e+00
7.6123e+01 1.0000e+00
7.4221e+01 1.0000e+00
1.1370e+02 1.0000e+00
9.7299e+01 1.0000e+00
5.6935e+01 1.0000e+00
9.3422e+01 1.0000e+00
7.5439e+01 1.0000e+00
5.5900e+01 1.0000e+00
9.0846e+01 1.0000e+00
2.9704e+01 1.0000e+00
9.7870e+01 8.0000e-01
1.0907e+02 1.0000e+00
7.0348e+01 1.0000e+00
8.5611e+01 1.0000e+00
9.6044e+01 1.0000e+00
1.1166e+02 1.0000e+00
1.0632e+02 1.0000e+00
7.4717e+01 1.0000e+00
8.5506e+01 1.0000e+00
8.5044e+01 1.0000e+00
1.1475e+02 1.0000e+00
7.6065e+01 1.0000e+00
9.0200e+01 1.0000e+00
8.8133e+01 1.0000e+00
9.1033e+01 1.0000e+00
4.9197e+01 1.0000e+00
8.4621e+01 1.0000e+00
7.3879e+01 1.0000e+00
7.7074e+01 1.0000e+00
8.8848e+01 8.0000e-01
1.1908e+02 1.0000e+00
6.9747e+01 1.0000e+00
8.8349e+01 1.0000e+00
9.1096e+01 1.0000e+00
1.1022e+02 1.0000e+00
1.0431e+02 1.0000e+00
1.1383e+02 1.0000e+00
1.0735e+02 8.0000e-01
8.9502e+01 1.0000e+00
3.1165e+01 1.0000e+00
5.1432e+01 1.0000e+00
1.2081e+02 1.0000e+00
1.1020e+02 1.0000e+00
1.0322e+02 1.0000e+00
7.3475e+01 1.0000e+00
1.0608e+02 1.0000e+00
1.2330e+02 1.0000e+00
6.6233e+01 1.0000e+00
1.0058e+02 1.0000e+00
9.3195e+01 1.0000e+00
8.8344e+01 1.0000e+00
9.4143e+01 1.0000e+00
1.1632e+02 1.0000e+00
7.0263e+01 1.0000e+00
8.7448e+01 1.0000e+00
7.9900e+01 1.0000e+00
7.2187e+01 8.0000e-01
9.0138e+01 1.0000e+00
1.1750e+02 1.0000e+00
5.3897e+01 1.0000e+00
4.5939e+01 1.0000e+00
8.0637e+01 1.0000e+00
9.7451e+01 1.0000e+00
7.6519e+01 1.0000e+00
7.3557e+01 1.0000e+00
9.4844e+01 1.0000e+00
1.0862e+02 1.0000e+00
1.1146e+02 1.0000e+00
1.2141e+02 1.0000e+00
9.7758e+01 1.0000e+00
1.3289e+02 1.0000e+00
1.1383e+02 1.0000e+00
1.1435e+02 1.0000e+00
9.6568e+01 1.0000e+00
1.3077e+02 1.0000e+00
1.1268e+02 1.0000e+00
1.3819e+02 1.0000e+00
1.0646e+02 1.0000e+00
9.4680e+01 1.0000e+00
8.1633e+01 1.0000e+00
6.7444e+01 8.0000e-01
6.6532e+01 1.0000e+00
9.9251e+01 1.0000e+00
9.8753e+01 1.0000e+00
8.1630e+01 1.0000e+00
8.6622e+01 1.0000e+00
8.7166e+01 1.0000e+00
8.5697e+01 1.0000e+00
8.5530e+01 1.0000e+00
9.8384e+01 1.0000e+00
1.1590e+02 1.0000e+00
1.2298e+02 1.0000e+00
