# ColVar Mean_PMF Std_PMF
2.5450e+02 2.2851e+00 3.2491e-01
2.5550e+02 2.1114e+00 2.7793e-01
2.5650e+02 2.3512e+00 1.7006e-01
2.5750e+02 2.3189e+00 3.3974e-01
2.5850e+02 2.3038e+00 4.3163e-01
2.5950e+02 2.4222e+00 2.1924e-01
2.6050e+02 2.4854e+00 3.8795e-01
2.6150e+02 2.5080e+00 1.4659e-01
2.6250e+02 2.7624e+00 2.8400e-01
2.6350e+02 2.7461e+00 3.4825e-01
2.6450e+02 2.4979e+00 2.5907e-01
2.6550e+02 2.4270e+00 3.7094e-01
2.6650e+02 2.2527e+00 3.8186e-01
2.6750e+02 2.3147e+00 4.5829e-01
2.6850e+02 2.2315e+00 4.5575e-01
2.6950e+02 2.5611e+00 4.8119e-01
2.7050e+02 2.4176e+00 4.7148e-01
2.7150e+02 2.1278e+00 3.4395e-01
2.7250e+02 2.0416e+00 1.8755e-01
2.7350e+02 2.0965e+00 3.5277e-01
2.7450e+02 2.0452e+00 2.1503e-01
2.7550e+02 2.0209e+00 1.8394e-01
2.7650e+02 2.1645e+00 5.0997e-01
2.7750e+02 2.0475e+00 2.6294e-01
2.7850e+02 1.9411e+00 2.7695e-01
2.7950e+02 1.9629e+00 2.0557e-01
2.8050e+02 2.1431e+00 3.2189e-01
2.8150e+02 1.9511e+00 3.8440e-01
2.8250e+02 1.9105e+00 1.9398e-01
2.8350e+02 2.0297e+00 3.8270e-01
2.8450e+02 1.9910e+00 3.2418e-01
2.8550e+02 2.1826e+00 3.9154e-01
2.8650e+02 2.1824e+00 2.1025e-01
2.8750e+02 2.4952e+00 2.3864e-01
2.8850e+02 2.4907e+00 3.3379e-01
2.8950e+02 2.3662e+00 5.0870e-01
2.9050e+02 2.1504e+00 2.9320e-01
2.9150e+02 2.1307e+00 2.3792e-01
2.9250e+02 2.2025e+00 3.1544e-01
2.9350e+02 2.0812e+00 4.6842e-01
2.9450e+02 1.9946e+00 2.2864e-01
2.9550e+02 2.3849e+00 1.4025e-01
2.9650e+02 2.5546e+00 2.6054e-01
2.9750e+02 2.3513e+00 3.2100e-01
2.9850e+02 2.4421e+00 1.8603e-01
2.9950e+02 2.3951e+00 1.7343e-01
3.0050e+02 3.4452e+00 1.0406e+00
3.0150e+02 4.5872e+00 1.7432e+00
3.0250e+02 4.9747e+00 1.7108e+00
3.0350e+02 5.0982e+00 1.8095e+00
3.0450e+02 5.0187e+00 1.9758e+00
3.0550e+02 5.2826e+00 1.4481e+00
3.0650e+02 5.9508e+00 1.2030e-01
3.0750e+02 5.9789e+00 7.1745e-02
3.0850e+02 5.9789e+00 7.1703e-02
3.0950e+02 5.9789e+00 7.1703e-02
