# time mean_CV Std_CV
2.6250e-01 1.3858e+00 2.5490e-02
2.6375e-01 1.3851e+00 2.0218e-02
2.6500e-01 1.3827e+00 1.9042e-02
2.6625e-01 1.3827e+00 1.8175e-02
2.6750e-01 1.3821e+00 1.5169e-02
2.6875e-01 1.3808e+00 1.5615e-02
2.7000e-01 1.3802e+00 1.4891e-02
2.7125e-01 1.3805e+00 1.4085e-02
2.7250e-01 1.3843e+00 1.4908e-02
2.7375e-01 1.3859e+00 1.6010e-02
2.7500e-01 1.3852e+00 1.3734e-02
2.7625e-01 1.3840e+00 1.3710e-02
2.7750e-01 1.3844e+00 1.3184e-02
2.7875e-01 1.3844e+00 1.2307e-02
2.8000e-01 1.3831e+00 1.2962e-02
2.8125e-01 1.3830e+00 1.3529e-02
2.8250e-01 1.3808e+00 1.5306e-02
2.8375e-01 1.3777e+00 1.1156e-02
2.8500e-01 1.3812e+00 1.3695e-02
2.8625e-01 1.3813e+00 1.2573e-02
2.8750e-01 1.3807e+00 1.2538e-02
2.8875e-01 1.3806e+00 1.1859e-02
2.9000e-01 1.3796e+00 1.0091e-02
2.9125e-01 1.3768e+00 7.5910e-03
2.9250e-01 1.3779e+00 1.6457e-03
2.9375e-01 1.3750e+00 2.8043e-03
2.9500e-01 1.3758e+00 5.1382e-03
2.9625e-01 1.3784e+00 4.4181e-03
2.9750e-01 1.3772e+00 3.0130e-03
2.9875e-01 1.3755e+00 4.9710e-03
3.0000e-01 1.3747e+00 7.2619e-03
3.0125e-01 1.3762e+00 5.5720e-03
3.0250e-01 1.3733e+00 7.8937e-03
3.0375e-01 1.3673e+00 6.7462e-03
3.0500e-01 1.3675e+00 4.9675e-03
3.0625e-01 1.3635e+00 1.4446e-03
3.0750e-01 1.3641e+00 3.3272e-03
3.0875e-01 1.3645e+00 3.9546e-03
3.1000e-01 1.3655e+00 6.1312e-03
3.1125e-01 1.3654e+00 1.3643e-03
3.1250e-01 1.3634e+00 4.5630e-03
3.1375e-01 1.3636e+00 8.0823e-03
3.1500e-01 1.3647e+00 9.1325e-03
3.1625e-01 1.3623e+00 8.3851e-03
3.1750e-01 1.3643e+00 5.5034e-03
3.1875e-01 1.3607e+00 7.8749e-03
3.2000e-01 1.3595e+00 9.2959e-03
3.2125e-01 1.3604e+00 6.7595e-03
3.2250e-01 1.3615e+00 7.1588e-03
3.2375e-01 1.3620e+00 7.4681e-03
3.2500e-01 1.3580e+00 1.0134e-02
3.2625e-01 1.3581e+00 1.5564e-02
3.2750e-01 1.3576e+00 1.1782e-02
3.2875e-01 1.3573e+00 1.2623e-02
3.3000e-01 1.3563e+00 1.6908e-02
3.3125e-01 1.3524e+00 1.7626e-02
3.3250e-01 1.3523e+00 2.2033e-02
3.3375e-01 1.3537e+00 1.9704e-02
3.3500e-01 1.3536e+00 2.2816e-02
3.3625e-01 1.3581e+00 2.1685e-02
3.3750e-01 1.3568e+00 1.9761e-02
3.3875e-01 1.3581e+00 2.0803e-02
3.4000e-01 1.3581e+00 2.3273e-02
3.4125e-01 1.3563e+00 2.2572e-02
3.4250e-01 1.3537e+00 2.3859e-02
3.4375e-01 1.3524e+00 2.2611e-02
3.4500e-01 1.3487e+00 2.3956e-02
3.4625e-01 1.3475e+00 2.5529e-02
3.4750e-01 1.3503e+00 2.6037e-02
3.4875e-01 1.3441e+00 2.8309e-02
3.5000e-01 1.3439e+00 3.0801e-02
3.5125e-01 1.3411e+00 2.9964e-02
3.5250e-01 1.3424e+00 2.9315e-02
3.5375e-01 1.3444e+00 3.1708e-02
3.5500e-01 1.3408e+00 3.0445e-02
3.5625e-01 1.3381e+00 3.2274e-02
3.5750e-01 1.3384e+00 3.4379e-02
3.5875e-01 1.3366e+00 3.6342e-02
3.6000e-01 1.3362e+00 3.7596e-02
3.6125e-01 1.3302e+00 3.8038e-02
3.6250e-01 1.3291e+00 3.5734e-02
3.6375e-01 1.3252e+00 3.5351e-02
3.6500e-01 1.3260e+00 3.5407e-02
3.6625e-01 1.3254e+00 3.5654e-02
3.6750e-01 1.3245e+00 3.3355e-02
3.6875e-01 1.3226e+00 3.5212e-02
3.7000e-01 1.3220e+00 3.3273e-02
3.7125e-01 1.3224e+00 3.7222e-02
3.7250e-01 1.3222e+00 3.7226e-02
3.7375e-01 1.3217e+00 4.0231e-02
3.7500e-01 1.3218e+00 4.1420e-02
3.7625e-01 1.3225e+00 3.7843e-02
3.7750e-01 1.3208e+00 3.7480e-02
3.7875e-01 1.3220e+00 3.9229e-02
3.8000e-01 1.3205e+00 3.5438e-02
3.8125e-01 1.3179e+00 3.4267e-02
3.8250e-01 1.3145e+00 3.3334e-02
3.8375e-01 1.3167e+00 3.4681e-02
3.8500e-01 1.3146e+00 3.5857e-02
3.8625e-01 1.3165e+00 3.5030e-02
3.8750e-01 1.3152e+00 3.1362e-02
3.8875e-01 1.3140e+00 3.4162e-02
3.9000e-01 1.3130e+00 3.6369e-02
3.9125e-01 1.3130e+00 3.6875e-02
3.9250e-01 1.3147e+00 3.6357e-02
3.9375e-01 1.3151e+00 3.6358e-02
3.9500e-01 1.3102e+00 3.4574e-02
3.9625e-01 1.3083e+00 3.5972e-02
3.9750e-01 1.3060e+00 3.4059e-02
3.9875e-01 1.3064e+00 3.5530e-02
4.0000e-01 1.3029e+00 3.3540e-02
4.0125e-01 1.3010e+00 3.1629e-02
4.0250e-01 1.2983e+00 3.3396e-02
4.0375e-01 1.2962e+00 3.3988e-02
4.0500e-01 1.2953e+00 3.4571e-02
4.0625e-01 1.2909e+00 3.3981e-02
4.0750e-01 1.2904e+00 3.3365e-02
4.0875e-01 1.2900e+00 3.7144e-02
4.1000e-01 1.2858e+00 3.8461e-02
4.1125e-01 1.2831e+00 3.5587e-02
4.1250e-01 1.2818e+00 3.6549e-02
4.1375e-01 1.2853e+00 3.6142e-02
4.1500e-01 1.2873e+00 3.6961e-02
4.1625e-01 1.2893e+00 3.5747e-02
4.1750e-01 1.2887e+00 3.6025e-02
4.1875e-01 1.2930e+00 3.4981e-02
4.2000e-01 1.2934e+00 3.2154e-02
4.2125e-01 1.2948e+00 3.0259e-02
4.2250e-01 1.2915e+00 2.7393e-02
4.2375e-01 1.2871e+00 2.4237e-02
4.2500e-01 1.2857e+00 2.8326e-02
4.2625e-01 1.2862e+00 2.7866e-02
4.2750e-01 1.2838e+00 2.6814e-02
4.2875e-01 1.2854e+00 2.1352e-02
4.3000e-01 1.2836e+00 2.1547e-02
4.3125e-01 1.2830e+00 2.0496e-02
4.3250e-01 1.2837e+00 2.2669e-02
4.3375e-01 1.2819e+00 2.0188e-02
4.3500e-01 1.2805e+00 2.0203e-02
4.3625e-01 1.2770e+00 1.9669e-02
4.3750e-01 1.2783e+00 2.0125e-02
4.3875e-01 1.2775e+00 2.2666e-02
4.4000e-01 1.2762e+00 2.2480e-02
4.4125e-01 1.2767e+00 2.3118e-02
4.4250e-01 1.2780e+00 2.1387e-02
4.4375e-01 1.2757e+00 2.0356e-02
4.4500e-01 1.2739e+00 2.0061e-02
4.4625e-01 1.2704e+00 1.6628e-02
4.4750e-01 1.2690e+00 1.9001e-02
4.4875e-01 1.2699e+00 1.9569e-02
4.5000e-01 1.2681e+00 1.6750e-02
4.5125e-01 1.2684e+00 1.5401e-02
4.5250e-01 1.2689e+00 1.4575e-02
4.5375e-01 1.2707e+00 1.8762e-02
4.5500e-01 1.2719e+00 1.3900e-02
4.5625e-01 1.2724e+00 1.3087e-02
4.5750e-01 1.2716e+00 1.5499e-02
4.5875e-01 1.2708e+00 1.8502e-02
4.6000e-01 1.2691e+00 1.9104e-02
4.6125e-01 1.2684e+00 1.9716e-02
4.6250e-01 1.2671e+00 2.1308e-02
4.6375e-01 1.2676e+00 2.2018e-02
4.6500e-01 1.2676e+00 2.1365e-02
4.6625e-01 1.2687e+00 2.2648e-02
4.6750e-01 1.2683e+00 2.1286e-02
4.6875e-01 1.2714e+00 2.1980e-02
4.7000e-01 1.2714e+00 2.1375e-02
4.7125e-01 1.2705e+00 1.9086e-02
4.7250e-01 1.2730e+00 2.0802e-02
4.7375e-01 1.2762e+00 1.9370e-02
4.7500e-01 1.2721e+00 2.0286e-02
4.7625e-01 1.2725e+00 2.0265e-02
4.7750e-01 1.2701e+00 1.8850e-02
4.7875e-01 1.2687e+00 1.8387e-02
4.8000e-01 1.2644e+00 1.6833e-02
4.8125e-01 1.2625e+00 1.7605e-02
4.8250e-01 1.2597e+00 1.8632e-02
4.8375e-01 1.2595e+00 1.9022e-02
4.8500e-01 1.2632e+00 1.8903e-02
4.8625e-01 1.2583e+00 1.6968e-02
4.8750e-01 1.2592e+00 1.3075e-02
4.8875e-01 1.2572e+00 1.2919e-02
4.9000e-01 1.2554e+00 1.1351e-02
4.9125e-01 1.2541e+00 9.2086e-03
