# time mean_CV Std_CV
4.3125e-01 1.0316e+02 4.0849e+00
4.3250e-01 1.0297e+02 4.1078e+00
4.3375e-01 1.0266e+02 4.2417e+00
4.3500e-01 1.0278e+02 4.2489e+00
4.3625e-01 1.0317e+02 3.9345e+00
4.3750e-01 1.0297e+02 4.0776e+00
4.3875e-01 1.0308e+02 3.9444e+00
4.4000e-01 1.0302e+02 3.9460e+00
4.4125e-01 1.0314e+02 4.3215e+00
4.4250e-01 1.0319e+02 4.5228e+00
4.4375e-01 1.0315e+02 4.5993e+00
4.4500e-01 1.0343e+02 4.4594e+00
4.4625e-01 1.0304e+02 4.1947e+00
4.4750e-01 1.0323e+02 4.2640e+00
4.4875e-01 1.0330e+02 4.2953e+00
4.5000e-01 1.0322e+02 4.4640e+00
4.5125e-01 1.0356e+02 4.5176e+00
4.5250e-01 1.0356e+02 4.4616e+00
4.5375e-01 1.0378e+02 3.9906e+00
4.5500e-01 1.0346e+02 4.3786e+00
4.5625e-01 1.0315e+02 4.0234e+00
4.5750e-01 1.0281e+02 4.2653e+00
4.5875e-01 1.0300e+02 4.2345e+00
4.6000e-01 1.0298e+02 4.0522e+00
4.6125e-01 1.0269e+02 3.7635e+00
4.6250e-01 1.0283e+02 4.0761e+00
4.6375e-01 1.0297e+02 3.6896e+00
4.6500e-01 1.0304e+02 3.9823e+00
4.6625e-01 1.0231e+02 3.8739e+00
4.6750e-01 1.0253e+02 3.8645e+00
4.6875e-01 1.0236e+02 3.6693e+00
4.7000e-01 1.0239e+02 3.6018e+00
4.7125e-01 1.0236e+02 3.4677e+00
4.7250e-01 1.0208e+02 3.5899e+00
4.7375e-01 1.0208e+02 3.3021e+00
4.7500e-01 1.0240e+02 3.5207e+00
4.7625e-01 1.0225e+02 3.5513e+00
4.7750e-01 1.0194e+02 3.4669e+00
4.7875e-01 1.0164e+02 3.5026e+00
4.8000e-01 1.0141e+02 3.4416e+00
4.8125e-01 1.0172e+02 3.3707e+00
4.8250e-01 1.0170e+02 3.3647e+00
4.8375e-01 1.0140e+02 3.5956e+00
4.8500e-01 1.0167e+02 3.7215e+00
4.8625e-01 1.0143e+02 3.8421e+00
4.8750e-01 1.0170e+02 4.0564e+00
4.8875e-01 1.0162e+02 4.0358e+00
4.9000e-01 1.0139e+02 4.0210e+00
4.9125e-01 1.0153e+02 3.8516e+00
4.9250e-01 1.0173e+02 3.8157e+00
4.9375e-01 1.0162e+02 3.8160e+00
4.9500e-01 1.0185e+02 3.7593e+00
4.9625e-01 1.0189e+02 3.8344e+00
4.9750e-01 1.0172e+02 3.6101e+00
4.9875e-01 1.0197e+02 3.2946e+00
5.0000e-01 1.0219e+02 3.6437e+00
5.0125e-01 1.0198e+02 3.5997e+00
5.0250e-01 1.0180e+02 3.5336e+00
5.0375e-01 1.0209e+02 3.3993e+00
5.0500e-01 1.0216e+02 3.5573e+00
5.0625e-01 1.0181e+02 3.2936e+00
5.0750e-01 1.0195e+02 3.0593e+00
5.0875e-01 1.0212e+02 3.0290e+00
5.1000e-01 1.0189e+02 2.9284e+00
5.1125e-01 1.0187e+02 2.7574e+00
5.1250e-01 1.0199e+02 3.1020e+00
5.1375e-01 1.0197e+02 3.3022e+00
5.1500e-01 1.0208e+02 3.0092e+00
5.1625e-01 1.0197e+02 3.1863e+00
5.1750e-01 1.0226e+02 2.8608e+00
5.1875e-01 1.0254e+02 2.8925e+00
5.2000e-01 1.0234e+02 3.1607e+00
5.2125e-01 1.0246e+02 3.2140e+00
5.2250e-01 1.0269e+02 3.6729e+00
5.2375e-01 1.0246e+02 3.4225e+00
5.2500e-01 1.0211e+02 2.9899e+00
5.2625e-01 1.0233e+02 2.9032e+00
5.2750e-01 1.0229e+02 3.0364e+00
5.2875e-01 1.0225e+02 2.7781e+00
5.3000e-01 1.0189e+02 2.4542e+00
5.3125e-01 1.0178e+02 2.8886e+00
5.3250e-01 1.0114e+02 2.5739e+00
5.3375e-01 1.0122e+02 2.5719e+00
5.3500e-01 1.0132e+02 2.4941e+00
5.3625e-01 1.0137e+02 2.5974e+00
5.3750e-01 1.0164e+02 2.4606e+00
5.3875e-01 1.0131e+02 2.3402e+00
5.4000e-01 1.0140e+02 2.4051e+00
5.4125e-01 1.0142e+02 2.5350e+00
5.4250e-01 1.0137e+02 2.7041e+00
5.4375e-01 1.0144e+02 2.7810e+00
5.4500e-01 1.0169e+02 3.0180e+00
5.4625e-01 1.0156e+02 2.7880e+00
5.4750e-01 1.0147e+02 2.9571e+00
5.4875e-01 1.0146e+02 3.1141e+00
5.5000e-01 1.0146e+02 3.0295e+00
5.5125e-01 1.0144e+02 3.1095e+00
5.5250e-01 1.0142e+02 3.5939e+00
5.5375e-01 1.0138e+02 3.5978e+00
5.5500e-01 1.0076e+02 3.5865e+00
5.5625e-01 1.0039e+02 3.5529e+00
5.5750e-01 1.0004e+02 3.0062e+00
5.5875e-01 1.0020e+02 2.6657e+00
5.6000e-01 9.9954e+01 2.7172e+00
5.6125e-01 1.0036e+02 2.6141e+00
5.6250e-01 1.0051e+02 2.9611e+00
5.6375e-01 1.0037e+02 2.9755e+00
5.6500e-01 1.0026e+02 3.1561e+00
5.6625e-01 1.0054e+02 3.1309e+00
5.6750e-01 1.0060e+02 3.1907e+00
5.6875e-01 1.0064e+02 2.9814e+00
5.7000e-01 1.0096e+02 2.8403e+00
5.7125e-01 1.0085e+02 2.7459e+00
5.7250e-01 1.0090e+02 2.9170e+00
5.7375e-01 1.0091e+02 2.8604e+00
5.7500e-01 1.0095e+02 3.3600e+00
5.7625e-01 1.0097e+02 3.3519e+00
